Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.2D.baseline2.Vector Float[seed=1337] x1000000,1338985031,508950978,4000072,4980,166723584
All.2D.baseline2.Vector Double[seed=1337] x1000000,1826172955,372372374,8000072,9945,178257920
All.2D.perlin2.Vector Float[seed=1337] x1000000,17687282031,173917732,4000094,5011,178257920
All.2D.perlin2.Vector Double[seed=1337] x1000000,19724208200,368815206,8000117,10014,179306496
All.2D.perlin2.fractal: Vector Float[seed=1337] x1000000,222201358900,1062285682,4000254,5304,179306496
All.2D.perlin2.fractal: Vector Double[seed=1337] x1000000,226737579100,2029820668,8000436,10720,179306496
All.2D.perlin2.ridged: Vector Float[seed=1337] x1000000,235996294062,776661874,4000117,5038,179306496
All.2D.perlin2.ridged: Vector Double[seed=1337] x1000000,241439765000,4511665164,8001833,11984,179306496
All.2D.perlin2.billow: Vector Float[seed=1337] x1000000,236841899850,2650915382,4000163,5116,179306496
All.2D.perlin2.billow: Vector Double[seed=1337] x1000000,240793432000,4130039914,8000952,11956,179306496
All.2D.perlin2.pingPong: Vector Float[seed=1337] x1000000,294763960271,178272070,4000083,4953,179306496
All.2D.perlin2.pingPong: Vector Double[seed=1337] x1000000,295940615400,1441508948,8000436,10667,179306496
All.2D.openSimplex2.Vector Float[seed=1337] x1000000,17884433375,339114242,4000261,5097,179306496
All.2D.openSimplex2.Vector Double[seed=1337] x1000000,17393800687,315820284,8000094,9883,181403648
All.2D.openSimplex2.fractal: Vector Float[seed=1337] x1000000,185942067300,3449654070,4000436,7049,181403648
All.2D.openSimplex2.fractal: Vector Double[seed=1337] x1000000,191543799300,2126431774,8000436,10633,181403648
All.2D.openSimplex2.ridged: Vector Float[seed=1337] x1000000,187790357900,1424492918,4000436,6886,181403648
All.2D.openSimplex2.ridged: Vector Double[seed=1337] x1000000,193405162600,2692264752,8000436,10624,181403648
All.2D.openSimplex2.billow: Vector Float[seed=1337] x1000000,198565357900,1637744484,4000436,5862,181403648
All.2D.openSimplex2.billow: Vector Double[seed=1337] x1000000,204346453000,3968479530,8000924,11853,181403648
All.2D.openSimplex2.pingPong: Vector Float[seed=1337] x1000000,265159910400,3009326222,3200544,6472,181403648
All.2D.openSimplex2.pingPong: Vector Double[seed=1337] x1000000,270245494350,2874333232,8000646,10120,181403648
All.2D.superSimplex2.Vector Float[seed=1337] x1000000,30505244475,397375888,4000117,4970,181403648
All.2D.superSimplex2.Vector Double[seed=1337] x1000000,33148648950,450948498,8000261,9932,181403648
All.2D.superSimplex2.fractal: Vector Float[seed=1337] x1000000,280653845400,5603205324,3202098,6214,181403648
All.2D.superSimplex2.fractal: Vector Double[seed=1337] x1000000,295181926000,1460297732,8001214,10553,181403648
All.2D.superSimplex2.ridged: Vector Float[seed=1337] x1000000,280147258200,5233032320,3200544,5904,181403648
All.2D.superSimplex2.ridged: Vector Double[seed=1337] x1000000,295261307200,4027170054,8001080,11792,181403648
All.2D.superSimplex2.billow: Vector Float[seed=1337] x1000000,288146045400,3901262432,3200544,7504,181403648
All.2D.superSimplex2.billow: Vector Double[seed=1337] x1000000,304247779600,4627465758,8000436,10519,181403648
All.2D.superSimplex2.pingPong: Vector Float[seed=1337] x1000000,346032055400,3703958056,4091007,790011,181403648
All.2D.superSimplex2.pingPong: Vector Double[seed=1337] x1000000,370256964787,4745392740,8000926,9958,186646528
All.2D.value2.Vector Float[seed=1337] x1000000,11359526462,211430624,4000117,4929,186646528
All.2D.value2.Vector Double[seed=1337] x1000000,16162934581,142056112,8000094,9715,186646528
All.2D.value2.fractal: Vector Float[seed=1337] x1000000,177480028100,2465872260,4000436,6279,186646528
All.2D.value2.fractal: Vector Double[seed=1337] x1000000,183441565700,1612090524,8000436,10465,186646528
All.2D.value2.ridged: Vector Float[seed=1337] x1000000,189048400700,1727297218,4000436,5916,186646528
All.2D.value2.ridged: Vector Double[seed=1337] x1000000,201705166200,4022732800,8000921,11700,186646528
All.2D.value2.billow: Vector Float[seed=1337] x1000000,185328086000,2006001178,4000436,5831,186646528
All.2D.value2.billow: Vector Double[seed=1337] x1000000,194786529600,3048501686,8000436,10434,186646528
All.2D.value2.pingPong: Vector Float[seed=1337] x1000000,249187165600,3297105486,3200544,9794,186646528
All.2D.value2.pingPong: Vector Double[seed=1337] x1000000,255520297100,3307505886,8000436,10418,186646528
All.2D.valueCubic2.Vector Float[seed=1337] x1000000,28555902575,265947470,4000117,4882,186646528
All.2D.valueCubic2.Vector Double[seed=1337] x1000000,31642074006,236069578,8000094,9627,186646528
All.2D.valueCubic2.fractal: Vector Float[seed=1337] x1000000,294871217800,3272724296,3200544,5846,186646528
All.2D.valueCubic2.fractal: Vector Double[seed=1337] x1000000,295661181800,3577138118,8001868,11653,186646528
All.2D.valueCubic2.ridged: Vector Float[seed=1337] x1000000,303990425200,3560224500,3200544,5650,186646528
All.2D.valueCubic2.ridged: Vector Double[seed=1337] x1000000,308581367700,4324989712,8000603,10430,187695104
All.2D.valueCubic2.billow: Vector Float[seed=1337] x1000000,306005465000,5556754142,3200544,6258,187695104
All.2D.valueCubic2.billow: Vector Double[seed=1337] x1000000,305015897600,1485248674,8000436,10345,187695104
All.2D.valueCubic2.pingPong: Vector Float[seed=1337] x1000000,375640904800,4665432404,4064922,880944,187695104
All.2D.valueCubic2.pingPong: Vector Double[seed=1337] x1000000,369797114200,3437809618,8003014,11746,187695104
All.2D.numeric combination.perlin * opensimplex/2: Vector Float[seed=1337] x1000000,40389978762,794714938,4000094,4802,187695104
All.2D.numeric combination.(4 * perlin) / 4: Vector Float[seed=1337] x1000000,17696722676,348514610,4000083,4763,187695104
All.2D.numeric combination.(perlin + perlin + perlin + perlin) / 4: Vector Float[seed=1337] x1000000,64687364500,381273626,4000117,4834,187695104
All.2D.numeric combination.fractal (perlin * opensimplex/2): Vector Float[seed=1337] x1000000,344083847000,3985540730,4090700,902955,187695104
All.2D.numeric combination.fractal perlin * fractal opensimplex: Vector Float[seed=1337] x1000000,419861702100,3017666308,4001259,905814,187695104
All.2D.cellular2.DistEuclidean CellValue: Vector Float[seed=1337] x1000000,68898452187,692053814,4000125,4822,187695104
All.2D.cellular2.DistEuclidean Distance2Add: Vector Float[seed=1337] x1000000,68719041725,949734430,4000171,4900,187695104
All.2D.cellular2.DistEuclidean CellValue: Vector Double[seed=1337] x1000000,75197060500,1461854036,8000444,10257,187695104
All.2D.cellular2.DistEuclidean Distance2Add: Vector Double[seed=1337] x1000000,75018410262,754015146,8000125,9526,187695104
All.3D.baseline3.Vector Float[seed=1337] x1000000,1411478685,794042722,4000072,4723,187695104
All.3D.baseline3.Vector Double[seed=1337] x1000000,1810087533,443480854,8000072,9430,187695104
All.3D.perlin3.Vector Float[seed=1337] x1000000,29363903550,560297590,4000163,4880,187695104
All.3D.perlin3.Vector Double[seed=1337] x1000000,39133452350,662359446,8000163,9580,187695104
All.3D.perlin3.fractal: Vector Float[seed=1337] x1000000,439501418100,2197778442,4001259,950043,187695104
All.3D.perlin3.fractal: Vector Double[seed=1337] x1000000,485901162200,3753836682,8001331,11584,196083712
All.3D.perlin3.ridged: Vector Float[seed=1337] x1000000,458378937500,5019286136,4001081,959246,196083712
All.3D.perlin3.ridged: Vector Double[seed=1337] x1000000,506601274000,5465714872,8001353,11571,196083712
All.3D.perlin3.billow: Vector Float[seed=1337] x1000000,450746236212,1260750132,4001099,968837,196083712
All.3D.perlin3.billow: Vector Double[seed=1337] x1000000,495087381600,2898587190,8001492,11619,196083712
All.3D.perlin3.pingPong: Vector Float[seed=1337] x1000000,482912438600,4532358632,4001733,980050,196083712
