name,items_per_second_human
2D_Value_FastNoiseLite,211_971_000
2D_Perlin_FastNoiseLite,182_558_000
2D_OpenSimplex2_FastNoiseLite,133_444_000
3D_Value_FastNoiseLite,111_514_000
2D_OpenSimplex2S_FastNoiseLite,106_499_000
3D_Perlin_FastNoiseLite,90_821_200
2D_ValueCubic_FastNoiseLite,73_415_900
2D_Cellular_FastNoiseLite,71_874_200
3D_OpenSimplex2_FastNoiseLite,69_788_000
3D_OpenSimplex2S_FastNoiseLite,59_213_900
3D_ValueCubic_FastNoiseLite,23_361_200
3D_Cellular_FastNoiseLite,21_422_900
